url,title,location,price,price_numeric,original_price,original_price_numeric,savings,property_type,building_size,land_size,electricity,floors,updated_date,posted_by,description,installment_info,specifications_text,spec_carport,spec_daya_listrik,spec_garasi,spec_jumlah_lantai,spec_kamar_mandi,spec_kamar_mandi_pembantu,spec_kamar_tidur,spec_kamar_tidur_pembantu,spec_kondisi_properti,spec_luas_bangunan,spec_luas_tanah,spec_sertifikat,building_size,description,electricity,floors,installment_info,land_size,location,original_price,original_price_numeric,posted_by,price,price_numeric,property_type,savings,title,updated_date,url
https://www.rumah123.com/properti/jakarta-barat/hos19478420/,Rumah Duri Kepa Siap Huni Strategis 3 Lantai Classic Jalan 2 Mobil,"Duri Kepa, Jakarta Barat","Rp 2,39 Miliar",2390000000.0,Rp 2.5 M,2500000000.0,Rp 100 Jutaan,Rumah,180,72,3300 Watt,3,15 Mei 2025,Ignatius Irwan Hidayat,"*Dijual rumah baru
*LOKASI STRATEGIS
*DEKAT MALL TA
*DEKAT MALL CP
*DEKAT MALL CL
*PUSAT KULINER
*UNIVERSITAS TERNAMA
*SEKOLAH TERNAMA 
Lokasi : komplek duri nirmala 
Jkt - Brt
•3 UNIT
* ukuran 4 x 18 ( 3 unit )
* 3 lantai.
* 4 + 1 kamar tidur
* 4 + 1 kamar mandi
* ⁠Ada kamar tidur di lt 1
* Tempat jemuran.
* Carport 1 mobil lega
* lebar jalan 2 mobil lega
* lingkungan perumahan mewah
*high ceiling 3.1 M ( rumah adem )
*bangunan terencana dgn gambar arsitek dan sipil
*LINGKUNGAN TENANG DAN NYAMAN
NB :
* Bangunan full bata merah",Cicilan mulai Rp 12 Jutaan/bulan,kamar tidur: 4; kamar mandi: 4; luas tanah: 72 m²; luas bangunan: 180 m²; carport: 1; sertifikat: SHM; daya listrik: 3300 Watt; kamar tidur pembantu: 1; kamar mandi pembantu: 1; jumlah lantai: 3; kondisi properti: Bagus,1,3300 Watt,,3,4,1,4,1,Bagus,180 m²,72 m²,SHM,180,"*Dijual rumah baru
*LOKASI STRATEGIS
*DEKAT MALL TA
*DEKAT MALL CP
*DEKAT MALL CL
*PUSAT KULINER
*UNIVERSITAS TERNAMA
*SEKOLAH TERNAMA 
Lokasi : komplek duri nirmala 
Jkt - Brt
•3 UNIT
* ukuran 4 x 18 ( 3 unit )
* 3 lantai.
* 4 + 1 kamar tidur
* 4 + 1 kamar mandi
* ⁠Ada kamar tidur di lt 1
* Tempat jemuran.
* Carport 1 mobil lega
* lebar jalan 2 mobil lega
* lingkungan perumahan mewah
*high ceiling 3.1 M ( rumah adem )
*bangunan terencana dgn gambar arsitek dan sipil
*LINGKUNGAN TENANG DAN NYAMAN
NB :
* Bangunan full bata merah",3300 Watt,3,Cicilan mulai Rp 12 Jutaan/bulan,72,"Duri Kepa, Jakarta Barat",Rp 2.5 M,2500000000.0,Ignatius Irwan Hidayat,"Rp 2,39 Miliar",2390000000.0,Rumah,Rp 100 Jutaan,Rumah Duri Kepa Siap Huni Strategis 3 Lantai Classic Jalan 2 Mobil,15 Mei 2025,https://www.rumah123.com/properti/jakarta-barat/hos19478420/
https://www.rumah123.com/properti/jakarta-selatan/hos18964155/,Dijual Cepat Rumah Cantik Tanah Luas 1600 Meter Harga Murah Bisa Buat Kantor Atau Kost Atau Cafe Atau Compound Atau Mini Townhouse Atau Restoran Lokasi Strategis Dekat Pinggir Jalan Raya Area Kemang Ampera Raya Jakarta Selatan,"Kemang, Jakarta Selatan","Rp 34,9 Miliar",34900000000.0,,,,Rumah,700,1600,23000 Watt,1,15 Mei 2025,Salsa,"Dijual Cepat Rumah Mewah Tanah Harga Murah Parkiran Banyak Area  Ampera  Kemang, Jakarta Selatan 

Land 1.600+ sqm 
Building +- 700 sqm
Garage and Car Port up to 10 cars
Electricity 23.000 Watt
CCTV
Solar Panel Water Heater
5 Bedrooms
3 Bathrooms + 1 Powder Room
Guest Sitting Room
Big Screen TV/Entertainment Room
Living Room
Large Kitchen
Music/Hobby Room
Study/Library Room
Swimming Pool + 1 Bathroom
3 Maid Rooms + 1 Bathroom
Maid Kitchen 
Tropical Fruit Trees (Rambutan, Mangga, Sukun, Jambu Air)
SHM on Hand

Price: IDR 35 M nego",Cicilan mulai Rp 179 Jutaan/bulan,kamar tidur: 5; kamar mandi: 3; luas tanah: 1600 m²; luas bangunan: 700 m²; carport: 11; sertifikat: SHM; daya listrik: 23000 Watt; kamar tidur pembantu: 3; kamar mandi pembantu: 1; jumlah lantai: 1; kondisi properti: Bagus,11,23000 Watt,,1,3,1,5,3,Bagus,700 m²,1600 m²,SHM,700,"Dijual Cepat Rumah Mewah Tanah Harga Murah Parkiran Banyak Area  Ampera  Kemang, Jakarta Selatan 

Land 1.600+ sqm 
Building +- 700 sqm
Garage and Car Port up to 10 cars
Electricity 23.000 Watt
CCTV
Solar Panel Water Heater
5 Bedrooms
3 Bathrooms + 1 Powder Room
Guest Sitting Room
Big Screen TV/Entertainment Room
Living Room
Large Kitchen
Music/Hobby Room
Study/Library Room
Swimming Pool + 1 Bathroom
3 Maid Rooms + 1 Bathroom
Maid Kitchen 
Tropical Fruit Trees (Rambutan, Mangga, Sukun, Jambu Air)
SHM on Hand

Price: IDR 35 M nego",23000 Watt,1,Cicilan mulai Rp 179 Jutaan/bulan,1600,"Kemang, Jakarta Selatan",,,Salsa,"Rp 34,9 Miliar",34900000000.0,Rumah,,Dijual Cepat Rumah Cantik Tanah Luas 1600 Meter Harga Murah Bisa Buat Kantor Atau Kost Atau Cafe Atau Compound Atau Mini Townhouse Atau Restoran Lokasi Strategis Dekat Pinggir Jalan Raya Area Kemang Ampera Raya Jakarta Selatan,15 Mei 2025,https://www.rumah123.com/properti/jakarta-selatan/hos18964155/
https://www.rumah123.com/properti/jakarta-selatan/hos15124965/,Rumah dijual Di Cluster Pondok Indah Jakarta Selatan,"Pondok Indah, Jakarta Selatan",Rp 13 Miliar,13000000000.0,,,,Rumah,300,296,5500 Watt,2,15 Mei 2025,Wida Satrijo,"Rumah terletak dalam cluster yang aman dan asri bergaya minimalis dekat Pondok Indah
Area hijau asri pepohonan menambah nilai estetika di lingkungan hunian. 
Sangat dekat dengan Pusat Bisnis Pondok Indah dan dilalui oleh Trans Jakarta .

Spesifikasi :

  - Kamar Tidur: 4
  - Kamar Mandi: 5
  - Sertifikat: SHM - Sertifikat Hak Milik
  - Daya Listrik: 5500 W
  - Arah Bangunan: Menghadap Selatan
  - Kondisi Perabotan: Semi Furnished

Dilengkapi dengan:

  - Wastafel.
  - Kulkas.
  - AC.
  - Keamanan 24 jam.
  - Taman.
  - One Gate System.
  - Taman Bermain.
  - Tempat Jemuran.
  - Taman.
  - Lapangan Basket.

Fitur unggulan:
  - Dekat Pusat Bisnis.
  - Akses Jalan Muat 2 Mobil.
  - One Gate System.

Berlokasi hanya 5 menit ke Pondok Indah Mall, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.

Dengan harga Rp. 13.000.000.xxx, anda bisa memiliki hunian eksklusif yang sudah siap huni dan bersertifikat SHM - Sertifikat Hak Milik. 

Kontak segera untuk informasi lebih lanjut!",Cicilan mulai Rp 66 Jutaan/bulan,kamar tidur: 4; kamar mandi: 5; luas tanah: 296 m²; luas bangunan: 300 m²; carport: 2; sertifikat: SHM; daya listrik: 5500 Watt; kamar tidur pembantu: 2; kamar mandi pembantu: 1; garasi: 2; jumlah lantai: 2; kondisi properti: Bagus,2,5500 Watt,2,2,5,1,4,2,Bagus,300 m²,296 m²,SHM,300,"Rumah terletak dalam cluster yang aman dan asri bergaya minimalis dekat Pondok Indah
Area hijau asri pepohonan menambah nilai estetika di lingkungan hunian. 
Sangat dekat dengan Pusat Bisnis Pondok Indah dan dilalui oleh Trans Jakarta .

Spesifikasi :

  - Kamar Tidur: 4
  - Kamar Mandi: 5
  - Sertifikat: SHM - Sertifikat Hak Milik
  - Daya Listrik: 5500 W
  - Arah Bangunan: Menghadap Selatan
  - Kondisi Perabotan: Semi Furnished

Dilengkapi dengan:

  - Wastafel.
  - Kulkas.
  - AC.
  - Keamanan 24 jam.
  - Taman.
  - One Gate System.
  - Taman Bermain.
  - Tempat Jemuran.
  - Taman.
  - Lapangan Basket.

Fitur unggulan:
  - Dekat Pusat Bisnis.
  - Akses Jalan Muat 2 Mobil.
  - One Gate System.

Berlokasi hanya 5 menit ke Pondok Indah Mall, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.

Dengan harga Rp. 13.000.000.xxx, anda bisa memiliki hunian eksklusif yang sudah siap huni dan bersertifikat SHM - Sertifikat Hak Milik. 

Kontak segera untuk informasi lebih lanjut!",5500 Watt,2,Cicilan mulai Rp 66 Jutaan/bulan,296,"Pondok Indah, Jakarta Selatan",,,Wida Satrijo,Rp 13 Miliar,13000000000.0,Rumah,,Rumah dijual Di Cluster Pondok Indah Jakarta Selatan,15 Mei 2025,https://www.rumah123.com/properti/jakarta-selatan/hos15124965/
https://www.rumah123.com/properti/jakarta-selatan/hos39116026/,Dijual Cepat ! Termurah Rumah Bona Indah 5 Kamar Tidur Di Lebak Bulus,"Lebak Bulus, Jakarta Selatan","Rp 6,3 Miliar",6300000000.0,,,,Rumah,268,331,Lainnya,2,15 Mei 2025,Sari Property,"DIJUAL 
Rumah Taman Bona Indah

Luas Tanah 331 m2
Luas bangunan 268 m2
KT 4 + 1
KM 3 +1
Listrik 5500
Dapur bersih dan dapur kotor
Garasi 2
Carpot 2
Unfurnished
Depan Taman
Taman depan dan belakang
SHM
Bagunan kokoh terawat

Harga : 6,3 Milyar 

Hubungi : 
Sari GRAHA
0812-802-8xxx8",Cicilan mulai Rp 32 Jutaan/bulan,kamar tidur: 5; kamar mandi: 4; luas tanah: 331 m²; luas bangunan: 268 m²; carport: 2; sertifikat: SHM; daya listrik: Lainnya; garasi: 2; jumlah lantai: 2; kondisi properti: Bagus,2,Lainnya,2,2,4,,5,,Bagus,268 m²,331 m²,SHM,268,"DIJUAL 
Rumah Taman Bona Indah

Luas Tanah 331 m2
Luas bangunan 268 m2
KT 4 + 1
KM 3 +1
Listrik 5500
Dapur bersih dan dapur kotor
Garasi 2
Carpot 2
Unfurnished
Depan Taman
Taman depan dan belakang
SHM
Bagunan kokoh terawat

Harga : 6,3 Milyar 

Hubungi : 
Sari GRAHA
0812-802-8xxx8",Lainnya,2,Cicilan mulai Rp 32 Jutaan/bulan,331,"Lebak Bulus, Jakarta Selatan",,,Sari Property,"Rp 6,3 Miliar",6300000000.0,Rumah,,Dijual Cepat ! Termurah Rumah Bona Indah 5 Kamar Tidur Di Lebak Bulus,15 Mei 2025,https://www.rumah123.com/properti/jakarta-selatan/hos39116026/
https://www.rumah123.com/properti/jakarta-selatan/hos39117049/,"Di Jual Cepat Rumah Bisa Silent Office Atau Multifungsi Atau Bisa Buat Ruang Usaha Atau Tempat Tinggal Atau Bisa Buat Kost Kostan Atau Perkantoran Atau Restoran Atau Cafe Atau Lainnya Harga Rp.15,9m Nego Area Cilandak Dekat Pondok Indah Fatmawati Jakarta","Cilandak, Jakarta Selatan","Rp 15,9 Miliar",15900000000.0,,,,Rumah,400,488,10600 Watt,2,15 Mei 2025,Salsa,"Di jual Cepat Rumah Bisa Silent Office atau Multifungsi atau bisa buat ruang usaha atau tempat tinggal atau bisa buat kost kostan atau perkantoran atau restoran atau cafe atau lainnya harga Rp.15,9M nego  Area Cilandak Dekat Pondok indah Fatmawati Jakarta Selatan

Luas tanah 488 meter
Luas bangunan 400 meter
Kamar tidur 5
Kamar mandi 4
Taman
Carport/ garasi bisa 14 mobil

Harga Rp.15.9M nego",Cicilan mulai Rp 81 Jutaan/bulan,kamar tidur: 5; kamar mandi: 4; luas tanah: 488 m²; luas bangunan: 400 m²; carport: 15; sertifikat: SHM; daya listrik: 10600 Watt; kamar tidur pembantu: 2; kamar mandi pembantu: 1; jumlah lantai: 2; kondisi properti: Renovasi Minimum,15,10600 Watt,,2,4,1,5,2,Renovasi Minimum,400 m²,488 m²,SHM,400,"Di jual Cepat Rumah Bisa Silent Office atau Multifungsi atau bisa buat ruang usaha atau tempat tinggal atau bisa buat kost kostan atau perkantoran atau restoran atau cafe atau lainnya harga Rp.15,9M nego  Area Cilandak Dekat Pondok indah Fatmawati Jakarta Selatan

Luas tanah 488 meter
Luas bangunan 400 meter
Kamar tidur 5
Kamar mandi 4
Taman
Carport/ garasi bisa 14 mobil

Harga Rp.15.9M nego",10600 Watt,2,Cicilan mulai Rp 81 Jutaan/bulan,488,"Cilandak, Jakarta Selatan",,,Salsa,"Rp 15,9 Miliar",15900000000.0,Rumah,,"Di Jual Cepat Rumah Bisa Silent Office Atau Multifungsi Atau Bisa Buat Ruang Usaha Atau Tempat Tinggal Atau Bisa Buat Kost Kostan Atau Perkantoran Atau Restoran Atau Cafe Atau Lainnya Harga Rp.15,9m Nego Area Cilandak Dekat Pondok Indah Fatmawati Jakarta",15 Mei 2025,https://www.rumah123.com/properti/jakarta-selatan/hos39117049/
